Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S,CH[4],CO[2],N[2]*O
1880,-0.17,-0.29,-0.04,-0.37,-0.12,-0.02,-0.8,-0.48,-0.29,-0.16,-0.09,-0.04,0.05,0.66,109.839825798234,7897.38313333334,1.846730013569403
1881,-0.08,-0.18,0.01,-0.35,0.11,-0.07,-0.91,-0.43,-0.21,0.09,0.12,-0.05,-0.07,0.58,111.086810200912,7947.90770466666,1.867070365896361
1882,-0.11,-0.22,-0.01,-0.31,-0.04,0.01,-1.41,-0.26,-0.17,-0.06,-0.03,0.01,0.04,0.61,112.358352871944,8171.126698,1.884568742916042
1883,-0.17,-0.29,-0.06,-0.35,-0.16,-0.01,-0.19,-0.54,-0.28,-0.18,-0.14,-0.04,0.07,0.49,113.74201563897,8411.15130133334,1.89979657093672
1884,-0.28,-0.43,-0.14,-0.6,-0.14,-0.14,-1.3,-0.62,-0.48,-0.13,-0.15,-0.19,-0.02,0.64,114.61128192228199,8472.98179266666,1.9133252679676471
1885,-0.33,-0.43,-0.24,-0.65,-0.13,-0.27,-1.5,-0.66,-0.47,-0.07,-0.18,-0.34,-0.15,0.81,115.47197277288,8495.95126533334,1.925726346231734
1886,-0.31,-0.43,-0.19,-0.57,-0.19,-0.21,-1.58,-0.49,-0.41,-0.21,-0.17,-0.2,-0.2,0.58,116.41594147910399,8583.88731866666,1.937571147855134
1887,-0.36,-0.44,-0.28,-0.53,-0.29,-0.28,-1.76,-0.5,-0.31,-0.3,-0.29,-0.28,-0.26,0.31,117.723752059886,8792.915669333339,1.949431195814122
1888,-0.17,-0.23,-0.11,-0.42,0.11,-0.29,-1.29,-0.42,-0.26,0.07,0.15,-0.31,-0.23,0.15,119.477366088868,9021.073602,1.9618778911747459
1889,-0.1,-0.17,-0.03,-0.29,0.09,-0.16,-0.67,-0.21,-0.28,0.02,0.16,-0.15,-0.15,0.44,120.367812485262,9062.63155,1.975482704537702
1890,-0.35,-0.38,-0.32,-0.45,-0.36,-0.23,-1.14,-0.55,-0.27,-0.27,-0.46,-0.18,-0.27,0.14,122.19031735077999,9518.615464,2.055650347642295
1891,-0.22,-0.26,-0.19,-0.43,-0.07,-0.22,-1.12,-0.34,-0.37,0.0,-0.15,-0.18,-0.24,-0.17,123.532473879764,9831.57484266666,2.077788454462982
1892,-0.27,-0.4,-0.15,-0.44,-0.29,-0.08,-1.13,-0.65,-0.18,-0.34,-0.25,0.02,-0.21,0.08,124.462523755332,9925.756828000001,2.101153991122504
1893,-0.31,-0.47,-0.15,-0.51,-0.36,-0.05,-0.65,-0.55,-0.48,-0.42,-0.29,0.07,-0.2,-0.05,125.02484020555,10028.913176666661,2.125428180989077
1894,-0.3,-0.38,-0.21,-0.32,-0.33,-0.24,-0.9,-0.32,-0.19,-0.48,-0.17,-0.15,-0.35,-0.39,126.407935141412,10193.810803333341,2.150292203672743
1895,-0.22,-0.3,-0.15,-0.4,-0.07,-0.26,-0.63,-0.52,-0.28,-0.14,0.01,-0.2,-0.32,-0.59,128.020503368298,10443.602906,2.175427027152221
1896,-0.11,-0.19,-0.03,-0.34,0.1,-0.16,-0.82,-0.36,-0.23,0.05,0.16,-0.16,-0.13,0.24,129.209749363232,10607.12106333334,2.200513980963383
1897,-0.11,-0.16,-0.05,-0.35,0.17,-0.24,-0.5,-0.46,-0.25,0.13,0.22,-0.2,-0.27,0.39,130.715823961394,10828.02972466666,2.225234101794016
