Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S,CH[4],CO[2],N[2]*O,CSIRO Adjusted Sea Level,Lower Error Bound,Upper Error Bound,NOAA Adjusted Sea Level
1906,-0.22,-0.24,-0.21,-0.25,-0.19,-0.24,-0.24,-0.06,-0.4,-0.22,-0.16,-0.21,-0.22,-0.72,146.69491252636402,13543.40925066666,2.473388500749382,1.251968503,0.673228346,1.83070866,
1907,-0.38,-0.47,-0.29,-0.58,-0.3,-0.29,-0.53,-0.71,-0.52,-0.31,-0.29,-0.21,-0.37,-1.21,150.209391998254,14325.96108266666,2.506910011935923,1.196850392,0.61023622,1.783464565,
1908,-0.43,-0.46,-0.4,-0.48,-0.44,-0.36,-0.19,-0.54,-0.52,-0.43,-0.44,-0.29,-0.48,0.67,150.297975670348,14165.79795866666,2.539238032340064,1.098425196,0.527559055,1.669291337,
1909,-0.48,-0.5,-0.47,-0.53,-0.48,-0.44,-0.71,-0.62,-0.45,-0.45,-0.51,-0.38,-0.52,-0.58,152.353217120624,14445.14811866666,2.5695366120329592,1.27559055,0.700787401,1.850393699,
1910,-0.43,-0.44,-0.43,-0.41,-0.48,-0.38,-0.53,-0.24,-0.5,-0.48,-0.48,-0.33,-0.45,0.15,154.319707948038,14692.18264,2.5969698065794398,1.271653542,0.696850393,1.846456691,
1911,-0.44,-0.42,-0.45,-0.42,-0.42,-0.48,-0.23,-0.42,-0.47,-0.43,-0.41,-0.44,-0.53,0.04,155.907933957662,14765.50778733334,2.627997257516115,1.598425195,1.039370078,2.157480313,
1912,-0.36,-0.46,-0.24,-0.59,-0.18,-0.37,-0.47,-0.79,-0.51,-0.27,-0.08,-0.37,-0.29,-1.64,157.659041668732,14952.84588933334,2.6682985683366978,1.476377951,0.917322834,2.035433069,
1913,-0.34,-0.42,-0.26,-0.44,-0.27,-0.35,-0.46,-0.33,-0.51,-0.39,-0.14,-0.29,-0.4,-1.05,160.608687990504,15463.46699666666,2.715869720541578,1.547244093,0.992125983,2.102362203,
1914,-0.15,-0.19,-0.1,-0.24,-0.06,-0.18,-0.32,-0.16,-0.29,-0.11,0.0,-0.16,-0.18,-0.37,158.972444348158,14801.900526,2.768700125743601,1.795275589,1.251968503,2.338582675,
1915,-0.14,-0.14,-0.13,-0.23,-0.01,-0.22,-0.56,-0.17,-0.19,-0.02,0.0,-0.15,-0.23,-1.99,159.744274465556,14621.723664,2.824790142980657,2.10629921,1.57086614,2.641732281,
1916,-0.36,-0.42,-0.3,-0.37,-0.45,-0.23,-0.41,-0.54,-0.25,-0.5,-0.39,-0.23,-0.17,-1.06,162.711159688078,15015.65411,2.882132014140942,2.031496061,1.519685038,2.543307084,
1917,-0.46,-0.58,-0.36,-0.5,-0.63,-0.19,-0.78,-0.5,-0.44,-0.69,-0.57,-0.23,-0.09,0.05,164.95267421059,15324.474412,2.938720235325435,1.854330707,1.350393699,2.358267714,
1918,-0.29,-0.4,-0.2,-0.41,-0.33,-0.14,-0.98,-0.27,-0.35,-0.38,-0.27,-0.06,-0.23,-0.29,164.510368378478,15269.397492,2.9925493105811656,1.791338581,1.291338581,2.29133858,
1919,-0.28,-0.35,-0.2,-0.44,-0.19,-0.23,-0.68,-0.56,-0.31,-0.23,-0.16,-0.15,-0.32,0.19,162.507995449256,14287.40398466666,3.0416152798929588,1.854330707,1.354330707,2.354330706,
1920,-0.27,-0.3,-0.24,-0.25,-0.25,-0.33,0.02,-0.2,-0.35,-0.37,-0.12,-0.19,-0.48,-1.15,167.009571479478,15541.64004266666,3.083909977988797,1.905511809,1.393700786,2.417322832,
1921,-0.19,-0.11,-0.26,0.02,-0.25,-0.31,0.04,0.17,-0.09,-0.29,-0.2,-0.23,-0.38,-0.85,164.207836986028,14896.43940733334,3.124060056157856,1.988188974,1.472440943,2.503937005,
1922,-0.28,-0.27,-0.29,-0.24,-0.31,-0.28,-0.27,-0.4,-0.14,-0.32,-0.31,-0.25,-0.29,-0.29,167.67099213680598,15308.84463333334,3.1672076268928957,1.952755904,1.433070865,2.472440942,
1923,-0.26,-0.22,-0.31,-0.15,-0.29,-0.34,0.21,-0.15,-0.26,-0.32,-0.26,-0.27,-0.41,-0.55,173.143886199652,16204.16815733334,3.2121183572334218,1.999999998,1.488188975,2.511811021,
1924,-0.27,-0.18,-0.35,-0.13,-0.25,-0.44,0.49,-0.25,-0.23,-0.26,-0.24,-0.4,-0.45,-0.54,175.150466277944,16284.475432,3.257559653782378,1.712598423,1.196850392,2.228346454,
1925,-0.22,-0.14,-0.3,-0.04,-0.23,-0.38,-0.05,0.18,-0.19,-0.28,-0.19,-0.25,-0.55,-0.87,176.825110661826,16475.40003666666,3.3022989543525814,1.791338581,1.255905511,2.326771651,
1926,-0.11,0.02,-0.21,0.03,0.02,-0.41,0.59,0.16,-0.22,0.01,0.03,-0.35,-0.45,-0.64,177.47163854708,16317.927918,3.345102632481561,2.047244092,1.507874014,2.586614171,
1927,-0.22,-0.13,-0.29,-0.13,-0.15,-0.39,0.05,-0.22,-0.13,-0.14,-0.17,-0.31,-0.45,-1.39,182.520504184466,17011.524436666663,3.384738754218756,2.003937006,1.496062991,2.511811021,
1928,-0.2,-0.1,-0.29,-0.07,-0.14,-0.4,0.73,-0.17,-0.23,-0.14,-0.15,-0.29,-0.48,-2.13,183.74933500436,17011.29640266666,3.4199736126497378,1.850393699,1.366141731,2.334645667,
1929,-0.36,-0.33,-0.38,-0.38,-0.27,-0.46,0.16,-0.62,-0.38,-0.27,-0.27,-0.43,-0.44,-1.09,187.799146549732,17604.09272133334,3.4495746205293134,1.905511809,1.429133857,2.381889761,
1930,-0.15,-0.01,-0.29,0.04,-0.1,-0.42,0.55,0.04,-0.11,-0.09,-0.11,-0.33,-0.47,-2.6,188.06841802616,16985.37001466666,3.472307483086403,2.062992124,1.590551179,2.535433068,
1931,-0.09,0.05,-0.21,0.01,0.09,-0.43,0.58,-0.04,-0.14,0.11,0.07,-0.42,-0.4,-0.42,187.232149526244,16274.281371333342,3.490758532503238,2.047244092,1.566929132,2.527559053,
1932,-0.15,-0.05,-0.25,0.04,-0.15,-0.35,0.5,0.19,-0.21,-0.18,-0.12,-0.21,-0.53,-1.0,187.090896216686,15688.56281066666,3.508795206841995,2.271653541,1.803149604,2.740157478,
1933,-0.28,-0.25,-0.31,-0.24,-0.27,-0.34,-0.15,-0.47,-0.12,-0.28,-0.27,-0.22,-0.48,-1.16,190.171750219878,16075.628175999998,3.5271076355571243,2.440944879,1.976377951,2.905511808,
1934,-0.12,0.0,-0.25,0.18,-0.24,-0.26,0.89,0.31,-0.13,-0.25,-0.23,-0.15,-0.38,-0.58,194.743110213338,16729.380208,3.54638619318004,2.228346454,1.759842518,2.696850391,
1935,-0.2,-0.09,-0.29,-0.04,-0.17,-0.38,0.36,-0.05,-0.16,-0.16,-0.19,-0.3,-0.42,-1.72,198.286939638166,17091.08644266666,3.567320367279656,2.448818895,1.980314959,2.917322832,
1936,-0.14,-0.03,-0.25,-0.02,-0.12,-0.3,0.41,0.1,-0.25,-0.04,-0.19,-0.27,-0.33,-0.04,203.788963746512,17893.328032666657,3.590599819363524,2.295275588,1.83070866,2.759842517,
1937,-0.03,0.12,-0.17,0.2,-0.05,-0.22,1.25,0.03,-0.03,0.01,-0.1,-0.19,-0.26,0.35,208.208654027608,18478.01139133334,3.616915523629986,2.519685037,2.055118108,2.984251965,
1938,0.0,0.16,-0.17,0.39,-0.22,-0.1,1.51,0.39,0.03,-0.18,-0.26,-0.06,-0.11,-0.87,208.891259868606,17996.938999333343,3.646956327060458,2.622047241,2.157480313,3.08661417,
1939,-0.02,0.09,-0.12,0.23,-0.12,-0.12,0.57,0.28,0.08,-0.11,-0.12,-0.04,-0.19,-1.61,212.945483133688,18499.29789333334,3.6814130267664,2.826771651,2.346456691,3.307086611,
1940,0.13,0.18,0.1,0.11,0.29,-0.07,1.01,-0.02,-0.09,0.27,0.3,0.03,-0.2,-0.06,217.578585834764,19729.89108133334,3.720975994661206,2.618110234,2.18110236,3.055118107,
1941,0.19,0.23,0.17,0.01,0.5,-0.05,0.01,-0.1,0.08,0.54,0.45,0.03,-0.15,-0.48,221.284997496842,20254.60518266663,3.855433499445439,3.098425194,2.673228344,3.523622044,
1942,0.07,0.13,0.01,0.13,0.08,-0.01,0.74,-0.07,0.06,0.11,0.04,0.06,-0.05,-0.91,223.918469859894,20292.782016,4.148917127450757,3.098425194,2.673228344,3.523622044,
1943,0.09,0.18,-0.01,0.37,-0.08,0.04,1.42,0.28,0.11,-0.11,-0.05,0.07,0.0,1.13,228.38891007347,20486.03955533337,4.5635980026298455,3.098425194,2.673228344,3.523622044,
1944,0.2,0.27,0.14,0.38,0.19,0.05,1.19,0.47,0.1,0.11,0.27,0.18,-0.1,-0.95,231.809005349322,20633.32530466663,5.061653396940384,2.84645669,2.425196848,3.267716532,
1945,0.09,0.11,0.09,0.11,0.17,-0.03,0.64,-0.03,0.04,0.1,0.24,0.03,0.0,-1.79,229.954897721412,18850.22944,5.605262002163196,2.95669291,2.535433068,3.377952752,
1946,-0.07,0.03,-0.17,0.07,-0.04,-0.24,-0.02,-0.05,0.17,-0.02,-0.06,-0.22,-0.24,-0.19,236.914501650938,19594.880321333338,6.156597558627058,3.251968501,2.834645666,3.669291335,
1947,-0.03,0.08,-0.13,0.16,-0.06,-0.17,1.07,-0.13,0.05,-0.03,-0.08,-0.2,-0.08,-0.23,244.942106121928,20490.086776,6.677836212616857,3.374015745,2.996062989,3.7519685,
1948,-0.1,-0.01,-0.19,0.13,-0.18,-0.24,0.12,0.31,0.01,-0.23,-0.13,-0.2,-0.19,-1.39,248.964406928004,20938.892258,7.131154391115942,3.562992122,3.19685039,3.929133854,
1949,-0.11,-0.02,-0.19,0.12,-0.19,-0.23,0.21,0.17,0.05,-0.23,-0.14,-0.18,-0.15,-1.99,252.44930702121,20477.14903866663,7.478729962572443,3.51181102,3.181102359,3.842519681,
1950,-0.17,-0.15,-0.2,-0.05,-0.29,-0.15,0.2,-0.31,0.04,-0.3,-0.27,-0.06,-0.16,-0.87,258.98982856013,22839.94638466663,7.682736721190893,3.598425193,3.287401571,3.909448815,
1951,-0.07,0.05,-0.18,0.08,-0.06,-0.23,0.09,0.01,0.12,0.0,-0.11,-0.22,-0.16,-0.7,267.707006905096,23940.23243266663,7.8049190715954655,3.972440941,3.665354327,4.279527555,
1952,0.01,0.06,-0.03,0.11,0.02,-0.09,0.27,-0.09,0.19,-0.01,0.05,-0.1,-0.02,-0.51,273.92535762572,24360.630170666627,7.933072383769602,3.870078736,3.56692913,4.173228342,
1953,0.08,0.25,-0.08,0.36,0.07,-0.19,1.02,0.36,0.14,0.08,0.07,-0.08,-0.24,-1.11,280.983301441422,24939.703758,8.068451889414296,4.043307082,3.748031492,4.338582673,
1954,-0.13,-0.01,-0.25,0.07,-0.21,-0.22,0.8,-0.21,0.0,-0.14,-0.28,-0.18,-0.2,-0.82,288.758155322028,25567.94196533337,8.212316971872783,3.929133854,3.64173228,4.216535429,
1955,-0.14,-0.09,-0.2,0.05,-0.34,-0.06,-0.24,-0.11,0.23,-0.29,-0.38,-0.16,-0.08,1.22,302.772112489728,27237.211686666637,8.36592289395104,3.964566925,3.685039366,4.244094484,
