year,disasterno
2012,2012-0485
2012,2012-0019
2015,2015-0342
1995,1995-0221
1991,1991-0497
2003,2003-0391
2005,2005-0655
2005,2005-0713
2006,2006-0383
2009,2009-0571
2012,2012-0019
2015,2015-0410
2006,2006-0383
2001,2001-0377
2009,2009-0571
2010,2010-0615
2000,2000-0379
2012,2012-0019
2004,2004-0331
2007,2007-0263
2010,2009-0595
2012,2012-0015
2013,2013-0208
2014,2014-0520
2003,2003-0391
2009,2009-0571
2010,2010-0615
2011,2011-0329
2012,2012-0019
2013,2013-0316
2015,2015-0611
2016,2016-0538
2018,2018-0226
2001,2001-0017
2012,2012-0532
2016,2016-0023
2018,2018-0256
2006,2005-0713
2012,2012-0019
2009,2009-0632
2015,2015-0529
2016,2016-0509
2012,2012-0019
2000,2000-0487
2012,2012-0045
2018,2018-0030
2012,2012-0019
2005,2005-0713
1991,1991-0279
2014,2014-0546
1995,1995-0001
1996,1996-0013
1998,1998-0002
2001,2001-0018
2001,2001-0579
2006,2005-0713
2009,2009-0030
2010,2010-0050
2010,2010-0633
2012,2012-0019
2012,2012-0012
2014,2014-0080
2001,2001-0734
2012,2012-0019
2016,2016-0036
2016,2016-0023
2013,2013-0027
2001,2001-0689
2004,2004-0010
2005,2005-0701
2005,2005-0655
2005,2005-0713
2009,2009-0571
2010,2010-0615
2007,2007-0033
2006,2006-0387
2012,2012-0509
2018,2018-0018
2012,2012-0019
2013,2013-0009
2010,2010-0633
2000,2000-0456
2010,2010-0057
2008,2008-0007
2010,2010-0050
1997,1997-0345
2009,2009-0033
2001,2001-0217
2001,2001-0385
2001,2001-0421
2010,2010-0048
2008,2008-0241
2008,2008-0596
2009,2009-0285
2009,2009-0218
2012,2012-0013
2010,2010-0464
2011,2011-0156
2012,2012-0455
2013,2013-0245
2014,2014-0572
2015,2015-0510
2016,2016-0162
2016,2016-0250
2016,2016-0255
2017,2017-0044
2017,2017-0363
2013,2013-0414
1991,1991-0129
1995,1995-0122
2001,2001-0637
2001,2001-0395
2002,2002-0728
2003,2003-0138
2008,2008-0218
2009,2009-0637
2009,2009-0096
2010,2010-0502
2010,2010-0625
2011,2011-0431
2015,2015-0171
2017,2017-0090
2017,2017-0119
2014,2014-0028
2000,2000-0374
2015,2015-0151
1993,1993-0013
2000,2000-0724
2000,2000-0206
2013,2013-0014
2000,2000-0524
2017,2017-0027
2002,2002-0583
2005,2005-0319
2011,2011-0366
2015,2015-0444
2015,2015-0428
1979,1979-0030
2000,2000-0657
1992,1992-0332
1995,1995-0202
1997,1997-0124
2000,2000-0358
2000,2000-0415
2000,2000-0498
2001,2001-0414
2001,2001-0501
1993,1993-0419
2001,2001-0618
2005,2005-0457
2009,2009-0315
2009,2009-0383
2014,2014-0270
2015,2015-0226
2009,2009-0041
2017,2017-0046
2017,2017-0483
2017,2017-0266
2014,2014-0021
1989,1989-0026
1992,1992-0148
2000,2000-0082
2000,2000-0469
2017,2017-0031
2000,2000-0701
2000,2000-0721
2001,2001-0046
2001,2001-0651
2001,2001-0041
2002,2002-0769
2003,2003-0060
2003,2003-0155
2004,2004-0129
2004,2004-0173
2004,2004-0177
2005,2005-0089
2006,2006-0069
2006,2006-0007
2006,2006-0668
2007,2007-0011
2008,2008-0189
2009,2009-0480
2011,2011-0493
2011,2011-0153
2012,2012-0249
2013,2013-0022
2013,2013-0086
2014,2014-0034
2014,2014-0483
2015,2015-0112
2015,2015-0524
2017,2017-0068
2018,2018-0454
2003,2003-0787
2004,2004-0108
2000,2000-0155
2000,2000-0834
2011,2011-0274
2002,2002-0309
2003,2003-0177
2004,2004-0179
2004,2004-0192
2004,2004-0387
2010,2010-0272
1997,1997-0272
2002,2002-0064
2011,2011-0175
2003,2003-0436
2006,2006-0407
2006,2006-0498
2007,2007-0537
2008,2008-0433
2010,2010-0510
1998,1998-0019
2010,2010-0231
2009,2009-0251
2010,2010-0231
2015,2015-0455
2016,2016-0224
1997,1997-0171
2001,2001-0298
2005,2005-0821
2012,2012-0589
2004,2004-0280
2000,2000-0634
2000,2000-0819
1992,1992-0161
2001,2001-0766
2001,2001-0328
2003,2003-0240
2005,2005-0714
2006,2006-0345
2007,2007-0093
2007,2007-0128
2010,2010-0073
2017,2017-0025
2002,2002-0190
2003,2003-0386
2006,2006-0222
2009,2009-0211
2003,2003-0153
1987,1987-0050
1997,1997-0027
2011,2011-0107
2000,2000-0586
2004,2004-0156
2009,2009-0086
2009,2009-0143
2009,2009-0152
2010,2010-0156
2012,2012-0386
2013,2013-0383
2003,2003-0610
2004,2004-0634
2000,2000-0072
2010,2010-0031
2011,2011-0305
2006,2006-0646
2010,2010-0146
2010,2010-0199
2016,2016-0164
2010,2010-0389
1997,1997-0322
2014,2014-0548
2002,2002-0558
2002,2002-0632
2001,2001-0717
2003,2003-0115
2006,2006-0053
2006,2006-0256
1989,1989-0157
2001,2001-0047
2002,2002-0562
2004,2004-0547
2001,2001-0616
2005,2005-0119
2009,2009-0054
2001,2001-0650
2016,2016-0148
1966,1966-0083
1994,1994-0045
2003,2003-0633
2014,2014-0095
2018,2018-0010
1992,1992-0042
2000,2000-0439
2000,2000-0680
2004,2004-0472
2009,2009-0476
2005,2005-0709
2009,2009-0346
2016,2016-0196
2002,2002-0830
2002,2002-0824
2007,2007-0015
2009,2009-0600
2015,2015-0157
2002,2002-0088
2018,2018-0415
2017,2017-0080
1965,1965-0088
2006,2006-0021
2017,2017-0529
1984,1984-0048
1989,1989-0417
1999,1999-9388
2005,2005-9067
2009,2009-9634
2005,2005-9238
1971,1971-0031
2001,2001-9044
2009,2009-9654
2012,2012-9160
1983,1983-0051
1990,1990-0284
2004,2004-0619
2009,2009-9283
2013,2013-0018
2014,2014-9265
2008,2008-0538
1996,1996-9119
2010,2010-9082
1997,1997-9023
2013,2013-9308
1973,1973-9005
1983,1983-9060
1987,1987-9014
1989,1989-9230
1997,1997-9091
1999,1999-9388
2005,2005-9747
1991,1991-9316
2009,2009-0003
2000,2000-9860
2002,2002-9838
2014,2014-9332
1982,1982-9350
2000,2000-9222
2009,2009-9323
1978,1978-9002
2003,2003-9760
2015,2015-9411
2017,2017-9296
1997,1996-9326
1999,1999-9388
2004,2004-9288
2005,2005-9719
2011,2010-9082
2011,2011-9663
2000,2000-9881
2002,2002-9707
2008,2008-9644
2014,2014-9533
2001,2001-9044
2010,2010-9292
2000,2000-9604
2003,2003-9035
2016,2016-9122
2018,2018-0154
2001,2001-9854
1997,1997-9227
2001,2001-9044
2011,2011-9529
2015,2015-0454
2008,2008-0625
2015,2015-9410
2008,2008-9550
2011,2011-9560
2014,2014-9573
2000,1999-9388
2008,2008-9468
2014,2014-9231
2005,2005-9569
2001,2001-9122
2000,2000-9186
2011,2011-9415
1989,1989-9276
1999,1999-9388
2002,2002-9852
2008,2008-9307
2011,2010-9082
2012,2012-9606
2014,2014-9023
1995,1995-9026
2001,2001-9122
2015,2015-0548
2015,2015-0434
2015,2015-0451
2015,2015-0353
2015,2015-0480
2015,2015-0207
2015,2015-0413
2015,2015-0317
2015,2015-0406
2015,2015-0450
2015,2015-0504
2015,2015-0036
2015,2015-0129
2015,2015-0349
2015,2015-0412
2015,2015-0088
2015,2015-0438
2015,2015-0499
2015,2015-0551
2015,2015-0081
2015,2015-0532
2015,2015-0418
2015,2015-0564
2015,2015-0345
2015,2015-0460
2015,2015-0074
2015,2015-0135
2015,2015-0337
2015,2015-0382
2015,2015-0470
2015,2015-0333
2015,2015-0446
2015,2015-0551
2015,2015-0359
2015,2015-0323
2015,2015-0339
2015,2015-0235
2015,2015-0436
2015,2015-0484
2015,2015-0447
2015,2015-0532
2015,2015-0620
2015,2015-0561
2015,2015-0123
2015,2015-0309
2015,2015-0399
2015,2015-0400
2015,2015-0488
2015,2015-0558
2015,2015-0460
2015,2015-0620
2015,2015-0494
2015,2015-0383
2015,2015-0208
2015,2015-0156
2015,2015-0038
2015,2015-0578
2015,2015-0352
2015,2015-0542
2015,2015-0325
2015,2015-0535
2018,2018-0161
2018,2018-0472
2018,2018-0167
2018,2018-0443
2018,2018-0207
2018,2018-0206
2018,2018-0419
2018,2018-0194
1999,1999-0240
2005,2005-0045
2000,2000-0383
2000,2000-0152
2005,2005-0137
2013,2013-0085
2011,2011-0320
1996,1996-0004
2007,2007-0170
2010,2010-0233
1987,1987-0257
2015,2015-0116
1994,1994-0036
2009,2009-0335
2004,2004-0286
1992,1992-0489
1984,1984-0091
1999,1999-0294
2016,2016-0184
2017,2017-0408
2017,2017-0368
2009,2009-0595
2017,2017-0332
2006,2006-0409
2009,2009-0305
2014,2014-0296
2015,2015-0226
2018,2018-0208
2012,2012-0215
2003,2003-0358
2005,2005-9637
1991,1991-0032
1991,1991-0495
1991,1991-0130
1992,1992-0197
1992,1992-0063
1993,1993-0159
1995,1995-0066
1995,1995-0137
1996,1996-0072
1997,1997-0097
1997,1997-0356
1998,1998-0054
2002,2002-0185
2002,2002-0196
2002,2002-0613
2003,2003-0143
2003,2003-0302
2003,2003-0778
2003,2003-0337
2003,2003-0392
2004,2004-0022
2004,2004-0349
2005,2005-0101
2005,2005-0322
2005,2005-0511
2005,2005-0736
2005,2005-0725
2006,2006-0029
2006,2006-0221
2006,2006-0271
2006,2006-0365
2007,2007-0105
2007,2007-0192
2007,2007-0672
2007,2007-0185
2007,2007-0178
2007,2007-0316
2009,2009-0168
2009,2009-0139
2009,2009-0385
2010,2010-0176
2010,2010-0367
2011,2011-0042
2011,2011-0632
2012,2012-0102
2012,2012-0573
2012,2012-0183
2012,2012-0143
2013,2013-0148
2013,2013-0178
2013,2013-0279
2014,2014-0084
2014,2014-0134
2014,2014-0185
1995,1995-0234
1997,1997-0302
2002,2002-0010
2004,2004-0633
2005,2005-0045
2005,2005-0696
1966,1966-0079
1974,1974-0017
1981,1981-0116
1982,1982-0121
1992,1992-0011
1993,1993-0217
1994,1994-0347
1996,1996-0079
1997,1997-0162
1999,1999-0040
2000,2000-0485
2000,2000-0551
2000,2000-0848
2000,2000-0692
2000,2000-0847
2002,2002-0540
2002,2002-0648
2002,2002-0752
2003,2003-0059
2003,2003-0160
2003,2003-0396
2003,2003-0503
2004,2004-0201
2005,2005-0095
2005,2005-0324
2006,2006-0088
2007,2007-0116
2007,2007-0141
2007,2007-0344
2007,2007-0353
2007,2007-0449
2008,2008-0444
2009,2009-0019
2009,2009-0394
2011,2011-0408
2012,2012-0034
2012,2012-0441
2000,2000-0002
2000,2000-0193
2001,2001-0021
2002,2002-0074
2003,2003-0072
2003,2003-0570
2004,2004-0019
2004,2004-0159
2004,2004-0661
2007,2007-0010
2007,2007-0027
2009,2009-0550
2010,2010-0126
2010,2010-0553
2011,2011-0523
1998,1998-0383
1999,1999-0438
1970,1970-0013
1973,1973-0002
1975,1975-0023
1978,1978-0127
1986,1986-0038
1992,1992-0075
1995,1995-0005
1995,1995-0044
1997,1997-0269
1998,1998-0080
2000,2000-0116
2000,2000-0255
2000,2000-0733
2000,2000-0776
2001,2001-0147
2001,2001-0582
2002,2002-0727
2003,2003-0539
2004,2004-0307
2004,2004-0624
2007,2007-0060
2007,2007-0135
2008,2008-0053
2009,2009-0356
2009,2009-0509
2012,2012-0420
2012,2012-0593
2014,2014-0139
2015,2015-0044
2015,2015-0070
1997,1997-0111
1998,1998-0338
2004,2004-0102
2013,2013-0194
1996,1996-0320
1998,1998-0022
1998,1998-0227
1999,1999-0092
2003,2003-0587
2003,2003-0616
2004,2004-0537
2005,2005-0697
2006,2006-0043
2006,2006-0179
2008,2008-0525
2008,2008-0581
2010,2010-0120
2015,2015-0148
1980,1980-0233
1985,1985-0245
1991,1991-0296
1995,1995-0127
2000,2000-0311
2002,2002-0489
2002,2002-0706
2005,2005-0364
2005,2005-0451
2006,2006-0156
2008,2008-0082
2009,2009-0279
2013,2013-0205
1995,1995-0170
2009,2009-0425
1965,1965-0054
1966,1966-0078
1992,1992-0065
1995,1995-0404
1999,1999-0327
2001,2001-0671
2004,2004-0455
2004,2004-0473
2007,2007-0523
2008,2008-0384
2013,2013-0187
1960,1960-0030
1964,1964-0024
1966,1966-0077
1969,1969-0065
1972,1972-0041
1973,1973-0023
1976,1976-0034
1977,1977-0054
1978,1978-0068
1981,1981-0274
1981,1981-0042
1982,1982-0100
1985,1985-0048
1985,1985-0299
1986,1986-0096
1986,1986-0232
1988,1988-0264
1990,1990-0095
1990,1990-0090
1991,1991-0332
1991,1991-0764
1991,1991-0224
1992,1992-0190
1993,1993-0240
1993,1993-0135
1993,1993-0241
1993,1993-0160
1994,1994-0131
1994,1994-0193
1996,1996-0196
1998,1998-0373
1999,1999-0115
1999,1999-0105
1999,1999-0576
1999,1999-0189
2000,2000-0146
2000,2000-0229
2000,2000-0211
2000,2000-0631
2001,2001-0459
2002,2002-0425
2003,2003-0211
2003,2003-0779
2004,2004-0678
2004,2004-0679
2005,2005-0273
2006,2006-0738
2006,2006-0739
2010,2010-0205
2014,2014-0244
2015,2015-0118
1970,1970-0054
2010,2010-0571
1999,1999-0132
1966,1966-0115
1971,1971-0119
1976,1976-0161
1982,1982-0338
1993,1993-0094
1998,1998-0292
1999,1999-0283
2002,2002-0101
2002,2002-0672
2003,2003-0001
2008,2008-0082
2010,2010-0601
2000,2000-0642
2001,2001-0553
2007,2007-0360
2008,2008-0233
2008,2008-0484
2010,2010-0503
1982,1982-0076
1997,1997-0199
2009,2009-0243
2011,2011-0283
1994,1994-0504
2000,2000-0484
1965,1965-0071
1966,1966-0053
1977,1977-0036
1983,1983-0055
1985,1985-0167
1986,1986-0003
1992,1992-0552
1992,1992-0023
1997,1997-0022
1997,1997-0566
1999,1999-0120
2000,2000-0130
2001,2001-0029
2002,2002-0110
2003,2003-0012
2003,2003-0047
2007,2007-0042
2007,2007-0652
2009,2009-0110
2011,2011-0040
2013,2013-0057
2015,2014-0529
2014,2014-0128
2014,2014-0329
2004,2004-0159
2009,2009-0633
2013,2013-0031
1964,1964-0041
1966,1966-0017
1966,1966-0044
1967,1967-0015
1967,1967-0029
1969,1969-0057
1970,1970-0037
1971,1971-0027
1973,1973-0019
1975,1975-0042
1977,1977-0077
1980,1980-0054
1987,1987-0052
1989,1989-0362
1989,1989-0061
1989,1989-0064
1989,1989-0452
1989,1989-0141
1990,1990-0411
1991,1991-0109
1992,1992-0183
1994,1994-0305
1995,1995-0301
1996,1996-0003
1997,1997-0077
1998,1998-0060
1998,1998-0242
2000,2000-0666
2001,2001-0213
2001,2001-0544
2002,2002-0082
2004,2004-0317
2005,2005-0003
2007,2007-0528
2008,2008-0041
2008,2008-0125
2009,2009-0163
2009,2009-0207
2009,2009-0356
2009,2009-0560
2010,2010-0248
2011,2011-0086
2011,2011-0213
2012,2012-0075
2013,2013-0408
2013,2013-0519
2013,2013-0552
2014,2014-0002
2014,2014-0103
1981,1981-0213
1993,1993-0130
1997,1997-0572
2001,2001-0701
2002,2002-0552
2005,2005-0265
2005,2005-0338
2005,2005-0473
2005,2005-0545
2006,2006-0209
2007,2007-0171
2007,2007-0322
2007,2007-0554
2010,2010-0619
2014,2014-0128
2014,2014-0210
2014,2014-0404
1985,1985-0150
2006,2006-0445
2006,2006-0507
2009,2009-0444
2013,2013-0330
1989,1989-0032
2000,2000-0835
2002,2002-0275
2004,2004-0006
2004,2004-0105
2004,2004-0111
2005,2005-0057
2006,2006-0051
2006,2006-0230
2006,2006-0268
2006,2006-0259
2007,2007-0028
2007,2007-0539
2008,2008-0142
2009,2009-0147
2010,2010-0567
2011,2011-0065
1991,1991-0211
1994,1994-0064
1996,1996-0221
1999,1999-0259
1999,1999-0437
2000,2000-0438
2001,2001-0485
2002,2002-0522
2005,2005-0515
2007,2007-0410
2011,2011-0364
2013,2013-0380
1991,1991-0287
2000,2000-0475
2001,2001-0299
2005,2005-0444
2010,2010-0351
2012,2012-0436
2014,2014-0400
2015,2015-0287
1966,1966-0110
1981,1981-0068
1986,1986-0185
1987,1987-0284
1987,1987-0135
1991,1991-0535
1995,1995-0110
1998,1998-0003
2000,2000-0420
2004,2004-0346
2005,2005-0728
2006,2006-0206
2006,2006-0224
2006,2006-0261
2011,2011-0131
2011,2011-0323
2013,2013-0190
2013,2013-0580
2014,2014-0554
1982,1982-0104
1984,1984-0085
1973,1973-0038
1981,1981-0098
1998,1998-0351
2003,2003-0564
2004,2004-0541
2005,2005-0425
2009,2009-0160
2009,2009-0254
2010,2010-0381
2011,2011-0293
2011,2011-0487
2012,2012-0058
2013,2013-0078
2013,2013-0489
1977,1977-0070
1988,1988-0277
1988,1988-0386
1999,1999-0265
2006,2006-0711
2007,2007-0375
2007,2007-0411
2007,2007-0403
2008,2008-0367
2008,2008-0445
2009,2009-0498
2009,2009-0433
2010,2010-0300
2012,2012-0347
1977,1977-0087
1987,1987-0126
1989,1989-0549
1993,1993-0010
1995,1995-0078
1997,1997-0134
1997,1997-0137
2000,2000-0310
2000,2000-0375
2001,2001-0285
2005,2005-0468
2006,2006-0363
2012,2012-0070
1970,1970-0090
1980,1980-0247
1981,1981-0231
1981,1981-0080
1984,1984-0082
1987,1987-0072
1987,1987-0344
1987,1987-0393
1988,1988-0215
1988,1988-0261
1988,1988-0363
1989,1989-0082
1989,1989-0087
1989,1989-0451
1989,1989-0118
1989,1989-0224
1990,1990-0024
1990,1990-0039
1990,1990-0716
1990,1990-0252
1990,1990-0698
1991,1991-0775
1991,1991-0049
1991,1991-0123
1991,1991-0518
1991,1991-0767
1991,1991-0225
1992,1992-0036
1992,1992-0141
1992,1992-0210
1992,1992-0217
1992,1992-0216
1992,1992-0298
1992,1992-0299
1992,1992-0302
1993,1993-0179
1993,1993-0462
1994,1994-0061
1994,1994-0138
1994,1994-0065
1994,1994-0066
1994,1994-0779
1994,1994-0198
1995,1995-0139
1995,1995-0255
1995,1995-0490
1996,1996-0103
1996,1996-0168
1996,1996-0226
1997,1997-0121
1997,1997-0558
1997,1997-0196
1997,1997-0179
1997,1997-0354
1998,1998-0115
1998,1998-0444
1998,1998-0445
1998,1998-0165
1998,1998-0604
1999,1999-0129
1999,1999-0118
1999,1999-0176
1999,1999-0191
1999,1999-0731
1999,1999-0355
1999,1999-0735
1999,1999-0301
2000,2000-0156
2000,2000-0302
2000,2000-0376
2000,2000-0472
2000,2000-0425
2000,2000-0557
2000,2000-0605
2000,2000-0677
2001,2001-0008
2001,2001-0241
2001,2001-0475
2001,2001-0322
2001,2001-0486
2001,2001-0392
2001,2001-0360
2001,2001-0796
2002,2002-0305
2002,2002-0350
2002,2002-0448
2002,2002-0483
2002,2002-0659
2002,2002-0599
2003,2003-0227
2003,2003-0315
2003,2003-0331
2003,2003-0394
2003,2003-0440
2003,2003-0594
2004,2004-0182
2004,2004-0325
2004,2004-0302
2004,2004-0247
2004,2004-0303
2004,2004-0287
2004,2004-0284
2004,2004-0299
2004,2004-0372
2004,2004-0457
2005,2005-0188
2005,2005-0274
2005,2005-0312
2005,2005-0395
2005,2005-0344
2005,2005-0751
2005,2005-0413
2005,2005-0475
2005,2005-0474
2005,2005-0492
2005,2005-0510
2005,2005-0540
2005,2005-0592
2005,2005-0600
2006,2006-0199
2006,2006-0250
2006,2006-0732
2006,2006-0266
2006,2006-0298
2006,2006-0297
2006,2006-0339
2006,2006-0336
2006,2006-0364
2006,2006-0394
2006,2006-0362
2006,2006-0388
2006,2006-0410
2007,2007-0137
2007,2007-0172
2007,2007-0166
2007,2007-0268
2007,2007-0296
2007,2007-0297
2007,2007-0333
2007,2007-0380
2007,2007-0401
2008,2008-0155
2008,2008-0263
2008,2008-0212
2008,2008-0652
2008,2008-0243
2008,2008-0249
2008,2008-0598
2008,2008-0292
2008,2008-0519
2009,2009-0219
2009,2009-0222
2009,2009-0636
2009,2009-0224
2009,2009-0235
2009,2009-0292
2009,2009-0613
2009,2009-0642
2009,2009-0299
2009,2009-0321
2009,2009-0487
2009,2009-0499
2010,2010-0179
2010,2010-0239
2010,2010-0308
2010,2010-0530
2011,2011-0227
2011,2011-0203
2011,2011-0212
2011,2011-0421
2011,2011-0279
2011,2011-0370
2011,2011-0379
2012,2012-0570
2012,2012-0197
2012,2012-0136
2012,2012-0173
2012,2012-0477
2012,2012-0292
2012,2012-0581
2012,2012-0283
2012,2012-0260
2012,2012-0603
2012,2012-0610
2013,2013-0065
2013,2013-0084
2013,2013-0089
2013,2013-0199
2013,2013-0200
2013,2013-0219
2013,2013-0249
2013,2013-0262
2013,2013-0341
2013,2013-0317
2013,2013-0272
2013,2013-0273
2013,2013-0433
2013,2013-0554
2014,2014-0107
2014,2014-0110
2014,2014-0132
2014,2014-0133
2014,2014-0549
2014,2014-0212
2014,2014-0266
2014,2014-0406
2014,2014-0267
2014,2014-0227
2014,2014-0269
2014,2014-0240
2014,2014-0555
2014,2014-0321
2014,2014-0323
2014,2014-0344
2014,2014-0292
2014,2014-0389
2015,2015-0185
2015,2015-0220
2015,2015-0248
2015,2015-0240
2015,2015-0252
2015,2015-0255
2015,2015-0303
1968,1968-0028
1970,1970-0069
1982,1982-0022
1983,1983-0318
1987,1987-0124
1988,1988-0468
1990,1990-0676
1990,1990-0678
1990,1990-0679
1993,1993-0011
1994,1994-0651
1996,1996-0240
1997,1997-0569
1999,1999-0372
2000,2000-0265
2000,2000-0648
2001,2001-0156
2002,2002-0339
2002,2002-0839
2003,2003-0788
2003,2003-0284
2005,2005-0196
2005,2005-0572
2006,2006-0140
2007,2007-0191
2007,2007-0176
2007,2007-0529
2008,2008-0121
2011,2011-0386
2012,2012-0238
2012,2012-0187
2012,2012-0457
2014,2014-0019
2014,2014-0430
1983,1983-0038
1985,1985-0030
1987,1987-0049
1989,1989-0029
2003,2003-0752
2009,2009-0092
2012,2012-0113
2014,2014-0092
1998,1998-0397
2002,2002-0739
2005,2005-0711
2006,2006-0597
2007,2007-0590
2012,2012-0479
2012,2012-0497
1970,1970-0025
1970,1970-0066
1988,1988-0466
1991,1991-0209
1994,1994-0506
1995,1995-0267
1996,1996-0023
1999,1999-0350
2002,2002-0755
2003,2003-0659
2007,2007-0466
2007,2007-0503
2010,2010-0470
2011,2011-0386
2012,2012-0281
2007,2007-0428
2008,2008-0349
2010,2010-0255
2014,2014-0536
2014,2014-0237
2015,2015-0231
2006,2006-0156
2010,2010-0193
2014,2014-0164
1963,1963-0030
1966,1966-0076
1982,1982-0074
1988,1988-0224
1992,1992-0017
1993,1993-0083
1994,1994-0060
1994,1994-0505
1995,1995-0102
1995,1995-0215
1996,1996-0231
1996,1996-0264
1998,1998-0381
1999,1999-0400
2000,2000-0869
2001,2001-0612
2002,2002-0359
2002,2002-0636
2004,2004-0415
2004,2004-0462
2005,2005-0351
2005,2005-0585
2006,2006-0319
2006,2006-0272
2007,2007-0360
2007,2007-0498
2007,2007-0523
2008,2008-0352
2012,2012-0313
2012,2012-0410
2013,2013-0511
2015,2015-0168
1969,1969-0112
2003,2003-0049
2004,2004-0026
1996,1996-0499
1997,1997-0142
2002,2002-0479
2005,2005-0131
2006,2006-0349
2009,2009-0228
2010,2010-0193
2013,2013-0205
1980,1980-0234
1983,1983-0340
2002,2002-0681
2010,2010-0652
1981,1981-0040
1989,1989-0011
1993,1993-0503
1994,1994-0507
2004,2004-0158
1979,1979-0069
2011,2011-0432
1964,1964-0048
1966,1966-0074
1987,1987-0161
1991,1991-0143
1995,1995-0181
1995,1995-0250
1996,1996-0201
1996,1996-0273
1998,1998-0295
2002,2002-0840
2003,2003-0238
2003,2003-0571
2003,2003-0599
2004,2004-0231
2004,2004-0473
2005,2005-0275
2007,2007-0167
2007,2007-0523
2007,2007-0612
2008,2008-0352
2009,2009-0016
2010,2010-0067
2011,2011-0328
2012,2012-0114
2012,2012-0236
2012,2012-0313
2012,2012-0410
2015,2015-0060
1967,1967-0019
1970,1970-0023
2000,2000-0266
2001,2001-0186
2001,2001-0252
2002,2002-0125
2002,2002-0162
2003,2003-0767
2006,2006-0093
2008,2008-0048
2010,2010-0270
2012,2012-0071
2015,2015-0114
1975,1975-0019
1987,1987-0359
1994,1994-0509
1995,1995-0354
1996,1996-0464
1997,1997-0331
2002,2002-0789
2010,2010-0639
2010,2010-0660
1982,1982-0102
1988,1988-0387
1992,1992-0150
1995,1995-0235
1999,1999-0349
2000,2000-0595
2001,2001-0561
2002,2002-0337
2002,2002-0851
2008,2008-0484
2009,2009-0477
2010,2010-0211
2010,2010-0260
2015,2015-0198
2003,2003-0368
1968,1968-0048
1988,1988-0443
1999,1999-0378
1999,1999-0419
1999,1999-0431
2000,2000-0399
2000,2000-0497
2001,2001-0448
2002,2002-0225
2003,2003-0204
2005,2005-0258
2005,2005-0472
2005,2005-0485
2006,2006-0204
2006,2006-0422
2006,2006-0436
2007,2007-0273
2007,2007-0304
2008,2008-0219
2010,2010-0115
2010,2010-0450
2011,2011-0631
1964,1964-0019
1980,1980-0036
1981,1981-0024
1985,1985-0021
1990,1990-0121
1992,1992-0162
1993,1993-0002
1997,1997-0039
2000,2000-0806
2004,2004-0153
2004,2004-0294
2006,2006-0071
2007,2007-0108
2007,2007-0592
2008,2008-0051
2009,2009-0554
2010,2010-0106
2012,2012-0069
2005,2005-0313
1977,1977-0084
1982,1982-0119
1983,1983-0345
1987,1987-0395
1988,1988-0698
1990,1990-0153
1993,1993-0065
1993,1993-0211
1994,1994-0048
1994,1994-0145
1995,1995-0007
1998,1998-0436
1999,1999-0021
1999,1999-0202
2000,2000-0636
2000,2000-0792
2001,2001-0066
2001,2001-0324
2001,2001-0743
2005,2005-0647
2008,2008-0237
2008,2008-0321
2013,2013-0215
2013,2013-0398
2013,2013-0530
2014,2014-0008
2009,2009-0170
2010,2010-0166
1996,1996-0207
2003,2003-0422
2004,2004-0300
2008,2008-0231
2009,2009-0252
2010,2010-0454
1995,1995-0173
1997,1997-0568
1997,1997-0565
1997,1997-0117
2004,2004-0102
2004,2004-0401
2006,2006-0208
2011,2011-0295
2012,2012-0550
2013,2013-0502
2013,2013-0256
2013,2013-0309
2015,2015-0227
1993,1993-0096
1993,1993-0237
1994,1994-0098
1995,1995-0111
1998,1998-0601
2002,2002-0055
2002,2002-0420
2002,2002-0467
2002,2002-0674
2006,2006-0156
2006,2006-0352
2006,2006-0356
2010,2010-0088
2010,2010-0380
2013,2013-0205
2013,2013-0547
2013,2013-0398
2013,2013-0517
2014,2014-0381
1968,1968-0056
1972,1972-0061
1989,1989-0258
1991,1991-0188
2001,2001-0314
2002,2002-0373
2009,2009-0376
2011,2011-0270
2011,2011-0413
1998,1998-0023
2000,2000-0708
2000,2000-0742
2001,2001-0642
2002,2002-0003
2002,2002-0694
2002,2002-0764
2002,2002-0777
2006,2006-0541
2006,2006-0568
2007,2007-0554
2010,2010-0619
2012,2012-0080
1999,1999-0527
1987,1987-0170
1988,1988-0418
1994,1994-0337
1999,1999-0361
2000,2000-0299
2000,2000-0609
2001,2001-0570
2002,2002-0849
2005,2005-0567
2007,2007-0468
2007,2007-0503
2008,2008-0268
2008,2008-0304
2008,2008-0484
2009,2009-0234
2010,2010-0211
2010,2010-0442
2010,2010-0503
2011,2011-0589
2011,2011-0338
2011,2011-0386
1993,1993-0048
2000,2000-0312
2006,2006-0531
2009,2009-0308
2010,2010-0346
2010,2010-0526
1987,1987-0118
1993,1993-0507
2004,2004-0494
2005,2005-0042
2006,2006-0041
2008,2008-0589
1963,1963-0028
1963,1963-0034
1964,1964-0047
1972,1972-0033
1979,1979-0083
1980,1980-0078
1986,1986-0070
1986,1986-0125
1987,1987-0256
1987,1987-0127
1988,1988-0060
1988,1988-0594
1988,1988-0596
1988,1988-0597
1989,1989-0211
1989,1989-0214
1994,1994-0510
1996,1996-0244
1996,1996-0463
1998,1998-0380
1999,1999-0192
2001,2001-0207
2003,2003-0759
2003,2003-0439
2003,2003-0495
2003,2003-0624
2004,2004-0462
2004,2004-0473
