year,disasterno
2010,2010-0066
2010,2010-0103
2010,2010-0125
2010,2010-0465
2010,2010-0624
2010,2010-0656
2011,2011-0080
2012,2012-0029
2012,2012-0037
2013,2013-0008
2009,2009-0273
1995,1995-0099
1995,1995-0264
1997,1997-0140
2003,2003-0212
2010,2010-0204
1963,1963-0013
1968,1968-0040
1985,1985-0063
1986,1986-0050
1986,1986-0117
1987,1987-0110
1987,1987-0132
1988,1988-0518
1989,1989-0016
1989,1989-0249
1989,1989-0119
1990,1990-0609
1991,1991-0120
1993,1993-0001
1993,1993-0028
1993,1993-0045
1994,1994-0092
1995,1995-0051
1995,1995-0100
1995,1995-0243
1996,1996-0104
1997,1997-0235
1998,1998-0164
1998,1998-0203
1999,1999-0225
1999,1999-0277
1999,1999-0532
2000,2000-0283
2000,2000-0555
2000,2000-0713
2001,2001-0273
2001,2001-0198
2001,2001-0393
2001,2001-0563
2002,2002-0233
2003,2003-0303
2004,2004-0166
2004,2004-0298
2004,2004-0509
2005,2005-0130
2005,2005-0190
2005,2005-0282
2005,2005-0259
2005,2005-0261
2005,2005-0375
2005,2005-0590
2006,2006-0146
2006,2006-0502
2006,2006-0510
2007,2007-0311
2007,2007-0556
2008,2008-0385
2009,2009-0204
2009,2009-0304
2010,2010-0171
2010,2010-0269
2011,2011-0591
2011,2011-0262
2012,2012-0082
2012,2012-0175
2013,2013-0090
2013,2013-0138
2014,2014-0135
2014,2014-0290
2015,2015-0213
2015,2015-0253
1993,1993-0047
1997,1997-0200
1967,1967-0108
1995,1995-0020
2002,2002-0550
2002,2002-0813
2005,2005-0512
1996,1996-0230
2012,2012-0320
2013,2013-0375
2003,2003-0621
2008,2008-0533
2010,2010-0023
1999,1999-0577
2009,2009-0268
2014,2014-0306
1995,1995-0035
2009,2009-0233
1985,1985-0112
1988,1988-0071
1992,1992-0014
1995,1995-0068
2000,2000-0019
2000,2000-0590
2000,2000-0809
2001,2001-0723
2001,2001-0696
2003,2003-0730
2003,2003-0028
2003,2003-0579
2004,2004-0131
2005,2005-0054
2005,2005-0296
2006,2006-0201
2007,2007-0003
2008,2008-0016
2008,2008-0549
2009,2009-0017
2009,2009-0512
2010,2010-0147
2011,2011-0014
2011,2011-0142
2014,2014-0188
2005,2005-0727
2012,2012-0033
2014,2014-0280
2014,2014-0368
2003,2003-0389
2007,2007-0305
2010,2010-0300
2006,2006-0480
2008,2008-0459
2011,2011-0180
2014,2014-0063
2006,2006-0451
1994,1994-0213
2007,2007-0400
2012,2012-0362
1998,1998-0091
1999,1999-0009
2003,2003-0417
2005,2005-0553
2006,2006-0269
2007,2007-0621
2012,2012-0493
1995,1995-0265
1999,1999-0413
2009,2009-0064
2001,2001-0521
2001,2001-0053
2002,2002-0322
2004,2004-0307
2015,2015-0106
2001,2001-0343
2004,2004-0520
2005,2005-0083
2005,2005-0625
2007,2007-0162
2008,2008-0559
2009,2009-0035
2010,2010-0168
2010,2010-0401
2013,2013-0513
2014,2014-0431
1993,1993-0082
2001,2001-0738
2002,2002-0263
2004,2004-0214
2005,2005-0021
2005,2005-0550
2008,2008-0234
2008,2008-0427
2008,2008-0484
2008,2008-0551
2010,2010-0575
2015,2015-0237
2000,2000-0868
2001,2001-0739
2010,2010-0619
2014,2014-0329
2008,2008-0514
2008,2008-0532
2006,2006-0156
1992,1992-0024
1997,1997-0092
2009,2009-0088
2002,2002-0144
2010,2010-0021
2005,2005-0348
2005,2005-0567
2004,2004-0394
1994,1994-0194
1997,1997-0270
2005,2005-0215
2013,2013-0125
1973,1973-0021
1973,1973-0052
1985,1985-0044
1986,1986-0052
1999,1999-0023
2001,2001-0223
2003,2003-0024
2006,2006-0073
2009,2009-0013
2012,2012-0024
1981,1981-0217
1992,1992-0251
1992,1992-0371
1994,1994-0556
1996,1996-0016
1999,1999-0450
2000,2000-0356
2000,2000-0775
2001,2001-0193
2001,2001-0323
2001,2001-0583
2002,2002-0553
2002,2002-0574
2002,2002-0673
2002,2002-0712
2003,2003-0001
2003,2003-0395
2003,2003-0586
2005,2005-0516
2006,2006-0573
2009,2009-0014
2010,2010-0088
2010,2010-0652
2011,2011-0439
2014,2014-0027
2014,2014-0067
2014,2014-0209
2014,2014-0388
2014,2014-0462
2005,2005-0225
2012,2012-0165
2014,2014-0365
1992,1992-0556
1994,1994-0786
1997,1997-0154
2010,2010-0652
2011,2011-0012
2014,2014-0209
1983,1983-0349
2007,2007-0441
2009,2009-0236
2010,2010-0246
2013,2013-0122
1997,1997-0555
2003,2003-0097
2014,2014-0419
1995,1995-0172
2007,2007-0439
2001,2001-0549
1988,1988-0424
2004,2004-0231
2005,2005-0597
2008,2008-0378
2010,2010-0092
1969,1969-0089
1990,1990-0115
1968,1968-0084
1969,1969-0071
1972,1972-0058
1974,1974-0129
1980,1980-0227
1981,1981-0206
1984,1984-0227
1984,1984-0110
1986,1986-0116
1987,1987-0280
1990,1990-0103
1990,1990-0019
1993,1993-0085
1996,1996-0503
1996,1996-0256
1997,1997-0337
1997,1997-0357
1998,1998-0183
1999,1999-0401
1999,1999-0425
2000,2000-0534
2000,2000-0610
2000,2000-0785
2001,2001-0387
2001,2001-0332
2001,2001-0515
2001,2001-0794
2002,2002-0308
2002,2002-0568
2002,2002-0650
2003,2003-0134
2003,2003-0234
2003,2003-0683
2003,2003-0605
